END_DATE,MAX_DAILY_TEMP,HEAT_ED_VISIT_COUNT
2021-09-23,86,0
2021-09-24,76,0
2021-09-25,77,0
2021-09-26,74,1
2021-09-27,82,0
2021-09-28,77,0
2021-09-29,72,0
2021-09-30,68,0
2022-05-01,65,0
2022-05-02,56,0
2022-05-03,59,2
2022-05-04,66,0
2022-05-05,71,0
2022-05-06,62,0
2022-05-07,51,1
2022-05-08,58,0
2022-05-09,68,0
2022-05-10,71,1
2022-05-11,74,1
2022-05-12,70,1
2022-05-13,65,0
2022-05-14,74,1
2022-05-15,78,0
2022-05-16,74,1
2022-05-17,78,0
2022-05-18,73,0
2022-05-19,67,0
2022-05-20,67,0
2022-05-21,91,28
2022-05-22,90,20
2022-05-23,72,1
2022-05-24,64,0
2022-05-25,69,0
2022-05-26,69,1
2022-05-27,77,2
2022-05-28,76,1
2022-05-29,77,1
2022-05-30,85,8
2022-05-31,92,31
2022-06-01,66,1
2022-06-02,84,1
2022-06-03,75,2
2022-06-04,80,1
2022-06-05,76,3
2022-06-06,81,1
2022-06-07,77,2
2022-06-08,84,2
2022-06-09,83,1
2022-06-10,79,3
2022-06-11,75,0
2022-06-12,73,3
2022-06-13,86,6
2022-06-14,81,1
2022-06-15,80,10
2022-06-16,71,0
2022-06-17,91,5
2022-06-18,76,1
2022-06-19,72,1
2022-06-20,78,1
2022-06-21,75,1
2022-06-22,67,1
2022-06-23,71,0
2022-06-24,82,3
2022-06-25,89,9
2022-06-26,90,18
2022-06-27,78,0
2022-06-28,79,1
2022-06-29,85,6
2022-06-30,85,5
2022-07-01,95,17
2022-07-02,90,14
2022-07-03,88,9
2022-07-04,86,2
2022-07-05,87,1
2022-07-06,84,6
2022-07-07,81,7
2022-07-08,84,3
2022-07-09,83,5
2022-07-10,81,1
2022-07-11,83,3
2022-07-12,93,5
2022-07-13,90,7
2022-07-14,90,8
2022-07-15,85,9
2022-07-16,83,1
2022-07-17,86,5
2022-07-18,91,8
2022-07-19,93,13
2022-07-20,99,21
2022-07-21,101,26
2022-07-22,94,20
2022-07-23,95,37
2022-07-24,97,35
2022-07-25,94,11
2022-07-26,85,5
2022-07-27,84,4
2022-07-28,92,8
2022-07-29,88,2
2022-07-30,88,2
2022-07-31,86,3
2022-08-01,79,1
2022-08-02,93,18
2022-08-03,91,10
2022-08-04,97,19
2022-08-05,93,15
2022-08-06,95,28
2022-08-07,97,12
2022-08-08,100,20
2022-08-09,101,35
2022-08-10,87,14
2022-08-11,89,8
2022-08-12,83,2
2022-08-13,79,0
2022-08-14,80,3
2022-08-15,81,0
2022-08-16,79,2
2022-08-17,80,1
2022-08-18,85,3
2022-08-19,88,5
2022-08-20,89,7
2022-08-21,83,2
2022-08-22,83,0
2022-08-23,86,3
2022-08-24,87,3
2022-08-25,89,2
2022-08-26,92,2
2022-08-27,86,8
2022-08-28,79,3
2022-08-29,89,5
2022-08-30,93,0
2022-08-31,84,1
2022-09-01,85,0
2022-09-02,78,0
2022-09-03,82,0
2022-09-04,89,1
2022-09-05,87,4
2022-09-06,75,0
2022-09-07,73,0
2022-09-08,77,1
2022-09-09,81,2
2022-09-10,85,2
2022-09-11,77,0
2022-09-12,82,0
2022-09-13,86,2
2022-09-14,79,0
2022-09-15,73,0
2022-09-16,77,0
2022-09-17,73,0
2022-09-18,84,0
2022-09-19,85,2
2022-09-20,75,2
2022-09-21,80,1
2022-09-22,73,0
2022-09-23,64,0
2022-09-24,69,0
2022-09-25,71,0
2022-09-26,75,0
2022-09-27,70,0
2022-09-28,70,1
2022-09-29,66,1
2022-09-30,63,1
2023-05-01,62,0
2023-05-02,57,0
2023-05-03,57,0
2023-05-04,56,0
2023-05-05,62,1
2023-05-06,71,0
2023-05-07,77,0
2023-05-08,77,1
2023-05-09,67,1
2023-05-10,73,1
2023-05-11,82,1
2023-05-12,86,8
2023-05-13,81,3
2023-05-14,73,1
2023-05-15,75,1
2023-05-16,80,2
2023-05-17,73,0
2023-05-18,58,0
2023-05-19,69,0
2023-05-20,65,9
2023-05-21,69,0
2023-05-22,74,0
2023-05-23,65,0
2023-05-24,77,0
2023-05-25,67,0
2023-05-26,73,1
2023-05-27,75,0
2023-05-28,77,3
2023-05-29,73,1
2023-05-30,67,0
2023-05-31,75,0
2023-06-01,85,5
2023-06-02,89,8
2023-06-03,70,1
2023-06-04,68,0
2023-06-05,75,0
2023-06-06,78,1
2023-06-07,69,1
2023-06-08,71,0
2023-06-09,74,0
2023-06-10,77,2
2023-06-11,82,1
2023-06-12,82,0
2023-06-13,80,0
2023-06-14,75,0
2023-06-15,78,0
2023-06-16,81,0
2023-06-17,78,0
2023-06-18,79,2
2023-06-19,78,0
2023-06-20,74,1
2023-06-21,71,1
2023-06-22,70,0
2023-06-23,72,0
2023-06-24,78,0
2023-06-25,84,7
2023-06-26,83,1
2023-06-27,82,2
2023-06-28,84,2
2023-06-29,82,2
2023-06-30,85,2
2023-07-01,82,2
2023-07-02,92,4
2023-07-03,93,9
2023-07-04,88,6
2023-07-05,92,11
2023-07-06,94,19
2023-07-07,93,12
2023-07-08,90,9
2023-07-09,88,9
2023-07-10,86,3
2023-07-11,89,10
2023-07-12,92,13
2023-07-13,96,9
2023-07-14,88,5
2023-07-15,94,14
2023-07-16,85,4
2023-07-17,94,10
2023-07-18,93,6
2023-07-19,84,7
2023-07-20,85,4
2023-07-21,87,6
2023-07-22,83,4
2023-07-23,86,4
2023-07-24,85,5
2023-07-25,89,3
2023-07-26,89,6
2023-07-27,101,25
2023-07-28,96,28
2023-07-29,96,23
2023-07-30,80,4
2023-07-31,85,2
2023-08-01,79,2
2023-08-02,79,0
2023-08-03,80,1
2023-08-04,77,1
2023-08-05,84,5
2023-08-06,85,3
2023-08-07,84,1
2023-08-08,82,0
2023-08-09,87,0
2023-08-10,83,0
2023-08-11,85,6
2023-08-12,88,2
2023-08-13,88,8
2023-08-14,88,0
2023-08-15,79,2
2023-08-16,83,1
2023-08-17,83,0
2023-08-18,83,2
2023-08-19,80,1
2023-08-20,87,6
2023-08-21,90,5
2023-08-22,78,1
2023-08-23,78,0
2023-08-24,73,2
2023-08-25,79,0
2023-08-26,84,5
2023-08-27,82,0
2023-08-28,76,1
2023-08-29,78,0
2023-08-30,85,1
2023-08-31,76,0
2023-09-01,75,0
2023-09-02,78,1
2023-09-03,89,3
2023-09-04,92,12
2023-09-05,95,11
2023-09-06,96,24
2023-09-07,99,21
2023-09-08,97,9
2023-09-09,92,4
2023-09-10,79,1
2023-09-11,85,1
2023-09-12,83,2
2023-09-13,83,1
2023-09-14,78,2
2023-09-15,69,1
2023-09-16,77,0
2023-09-17,77,0
2023-09-18,70,0
2023-09-19,75,0
2023-09-20,76,2
2023-09-21,72,0
2023-09-22,71,0
2023-09-23,63,0
2023-09-24,65,1
2023-09-25,62,0
2023-09-26,61,2
2023-09-27,66,1
2023-09-28,65,0
