report_id,title,indicator_id,data_field_name,start_date,end_date,time_type,time,geo_entity_id,geo_join_id,geo_type,neighborhood,data_value,message
77,Outdoor Air and Health,365,Fine365,2019-01-01,2019-12-31,Annual Average,Annual Average 2019,102,102,UHF42,Northeast Bronx,6.68,
77,Outdoor Air and Health,375,Nitr375,2020-01-01,2020-12-31,Annual Average,Annual Average 2020,102,102,UHF42,Northeast Bronx,16.75,
77,Outdoor Air and Health,386,Ozon386,2020-06-01,2020-08-31,Summer Seasonal,Summer 2020,102,102,UHF42,Northeast Bronx,30.85,
77,Outdoor Air and Health,642,Boil642,2013-01-01,2013-12-31,year,2013,102,102,UHF42,Northeast Bronx,33.8,
77,Outdoor Air and Health,646,Air 646,2005-01-01,2005-12-31,year,2005,102,102,UHF42,Northeast Bronx,2.8,
77,Outdoor Air and Health,650,PM2-650,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,25.9,
77,Outdoor Air and Health,655,O3-A655,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,28.1,
77,Outdoor Air and Health,657,PM2-657,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,69.4,
77,Outdoor Air and Health,659,O3-A659,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,58.3,
77,Outdoor Air and Health,648,PM2-648,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,73.4,
77,Outdoor Air and Health,655,O3-A655,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,32.2,
77,Outdoor Air and Health,383,Sulf383,2010-12-01,2011-03-01,Winter Seasonal,Winter 2010-11,102,102,UHF42,Northeast Bronx,4.25,
77,Outdoor Air and Health,383,Sulf383,2011-12-01,2012-03-01,Winter Seasonal,Winter 2011-12,102,102,UHF42,Northeast Bronx,2.8,
77,Outdoor Air and Health,375,Nitr375,2012-12-01,2013-12-01,Annual Average,Annual Average 2013,102,102,UHF42,Northeast Bronx,18.37,
77,Outdoor Air and Health,641,Boil641,2015-01-01,2015-12-31,year,2015,102,102,UHF42,Northeast Bronx,0.3,
77,Outdoor Air and Health,383,Sulf383,2013-12-01,2014-03-01,Winter Seasonal,Winter 2013-14,102,102,UHF42,Northeast Bronx,1.61,
77,Outdoor Air and Health,386,Ozon386,2011-06-01,2011-09-01,Summer Seasonal,Summer 2011,102,102,UHF42,Northeast Bronx,33.44,
77,Outdoor Air and Health,644,Traf644,2016-01-01,2016-12-31,year,2016,102,102,UHF42,Northeast Bronx,15.5,
77,Outdoor Air and Health,386,Ozon386,2015-06-01,2015-08-31,Summer Seasonal,Summer 2015,102,102,UHF42,Northeast Bronx,29.93,
77,Outdoor Air and Health,383,Sulf383,2015-12-01,2016-02-29,Winter Seasonal,Winter 2015-16,102,102,UHF42,Northeast Bronx,0.29,
77,Outdoor Air and Health,365,Fine365,2015-12-31,2016-12-31,Annual Average,Annual Average 2016,102,102,UHF42,Northeast Bronx,7.55,
77,Outdoor Air and Health,386,Ozon386,2016-05-31,2016-08-31,Summer Seasonal,Summer 2016,102,102,UHF42,Northeast Bronx,33.21,
77,Outdoor Air and Health,375,Nitr375,2015-12-31,2016-12-31,Annual Average,Annual Average 2016,102,102,UHF42,Northeast Bronx,17.52,
